Study_number,Authors,Title,Source,Volume,Issue,BP,EP,PubYear,Notes,Citations,DE,DLD,DOI,nonEnglish,Rank,SearchDate,SearchTerm
1931,"Xu, M; Qi, Y",Soil-surface CO2 efflux and its spatial and temporal variations in a young ponderosa pine plantation in northern California,GLOBAL CHANGE BIOLOGY,7,6,667,677,2001,,86,Y,Y,,N,1,9/26/2008,"Topic=(q10 and soil and co2 not ""soil respiration"")"
1932,"Xu, M; Qi, Y",Spatial and seasonal variations of Q(10) determined by soil respiration measurements at a Sierra Nevadan forest,GLOBAL BIOGEOCHEMICAL CYCLES,15,3,687,696,2001,,58,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
1933,"Xu, Yi-Jun; Borken, Werner",Simulation of soil carbon dioxide efflux in a mature temperate spruce forest from 1975 to 1999,Ecological Society of America Annual Meeting Abstracts,86,,240,,2001,,0,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
1934,"Yang, X; Wang, MX; Huang, Y",The climatic-induced net carbon sink by terrestrial biosphere over 1901-19950,ADVANCES IN ATMOSPHERIC SCIENCES,18,6,1192,1206,2001,,1,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
1935,"Yapp, CJ",Mixing of CO2 in surficial environments as recorded by the concentration and delta C-13 values of the Fe(CO3)OH component in goethite,GEOCHIMICA ET COSMOCHIMICA ACTA,65,22,4115,4130,2001,,8,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
1936,"Yoshida, LC; Gamon, JA; Andersen, CP",Differences in above- and below-ground responses to ozone between two populations of a perennial grass,PLANT AND SOIL,233,2,203,211,2001,,6,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
1937,"Zhang, Q; Yu, X",Allelopathy in replant problem in forest soil,ALLELOPATHY JOURNAL,8,1,51,64,2001,,3,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
1938,"Agren, GI; Bosatta, E",Reconciling differences in predictions of temperature response of soil organic matter,SOIL BIOLOGY & BIOCHEMISTRY,34,1,129,132,2002,,27,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
1939,"Anan'eva, N. D.; Blagodatskaya, E. V.; Demkina, T. S.",Estimating the resistance of soil microbial complexes to natural and anthropogenic impacts,POCHVOVEDENIE / EURASIAN SOIL SCIENCE,,5,580,587,2002,,0,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
1940,"Anan'eva, ND; Blagodatskaya, EV; Demkina, TS",Estimating the resistance of soil microbial complexes to natural and anthropogenic impacts,POCHVOVEDENIE / EURASIAN SOIL SCIENCE,35,5,514,521,2002,,7,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
1941,"Anthoni, PM; Unsworth, MH; Law, BE; Irvine, J; Baldocchi, DD; Van Tuyl, S; Moore, D",Seasonal differences in carbon and water vapor exchange in young and old-growth ponderosa pine ecosystems,AGRICULTURAL AND FOREST METEOROLOGY,111,3,203,222,2002,,50,N,Y,,N,1,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
1942,"Araujo, AC; Nobre, AD; Kruijt, B; Elbers, JA; Dallarosa, R; Stefani, P; von Randow, C; Manzi, AO; Culf, AD; Gash, JHC; Valentini, R; Kabat, P",Comparative measurements of carbon dioxide fluxes from two nearby towers in a central Amazonian rainforest: The Manaus LBA site,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,107,D20,,,2002,,38,N,Y,10.1029/2001JD000676,N,2,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
1943,"Arshad, MA; Martin, S",Identifying critical limits for soil quality indicators in agro-ecosystems,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,88,2,153,160,2002,,50,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
1944,"Aubinet, M; Heinesch, B; Longdoz, B","Estimation of the carbon sequestration by a heterogeneous forest: night flux corrections, heterogeneity of the site and inter-annual variability",GLOBAL CHANGE BIOLOGY,8,11,1053,1071,2002,,49,N,Y,,N,2,9/26/2008,"Topic=((""soil co2 efflux"" or ""soil co2 flux"" or ""soil carbon flux"" or ""soil carbon efflux"") not ""soil respiration"")"
1945,"Azam, F; Muller, C; Weiske, A; Benckiser, G; Ottow, JCG",Nitrification and denitrification as sources of atmospheric nitrous oxide - role of oxidizable carbon and applied nitrogen,BIOLOGY AND FERTILITY OF SOILS,35,1,54,61,2002,,31,,,10.1007/s00374-001-0441-5,N,4,9/26/2008,"Topic=(""soil respiration"")"
1946,"Bailey, VL; Smith, JL; Bolton, H",Fungal-to-bacterial ratios in soils investigated for enhanced C sequestration,SOIL BIOLOGY & BIOCHEMISTRY,34,7,997,1007,2002,,45,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
1947,"Baldocchi, DD; Wilson, KB; Gu, LH","How the environment, canopy structure and canopy physiological functioning influence carbon, water and energy fluxes of a temperate broad-leaved deciduous forest-an assessment with the biophysical model CANOAK",TREE PHYSIOLOGY,22,15-16,1065,1077,2002,,36,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
1948,"Baranchikov, YN; Perevoznikova, VD; Vishnyakova, ZV",Carbon emission by soils in forests damaged by the Siberian moth,RUSSIAN JOURNAL OF ECOLOGY,33,6,398,401,2002,,0,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
1949,"Baranchikov, Yu. N.; Perevoznikova, V. D.; Vishnyakova, Z. V.",Carbon emission by soils in forests damaged by the Siberian moth.,Ekologiya (Moscow),,6,422,425,2002,,0,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
1950,"Barrett, J. E.; McManus, Catherine A.; Virginia, Ross A.; Parsons, Andy N.; Wall, Diana H.","Soil carbon turnover in Antarctic Dry Valley ecosystems, an analytical approach",Ecological Society of America Annual Meeting Abstracts,87,,316,,2002,,0,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
1951,"Blodau, Christian",Carbon cycling in peatlands: A review of processes and controls,Environmental Reviews,10,2,111,134,2002,,0,,,,N,4,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
1952,"Bond-Lamberty, B; Wang, C; Gower, ST",Annual carbon flux from woody debris for a boreal black spruce fire chronosequence,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,108,D3,,,2002,,19,,,10.1029/2001JD000839,N,4,9/26/2008,"Topic=(""soil respiration"")"
1953,"Borken, W; Muhs, A; Beese, F","Application of compost in spruce forests: effects on soil respiration, basal respiration and microbial biomass",FOREST ECOLOGY AND MANAGEMENT,159,02-Jan,49,58,2002,,3,Y,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
1954,"Borken, W; Xu, YJ; Davidson, EA; Beese, A","Site and temporal variation of soil respiration in European beech, Norway spruce, and Scots pine forests",GLOBAL CHANGE BIOLOGY,8,12,1205,1216,2002,,36,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
1955,"Boyle, Sarah I.; Hart, Stephen C.",Nitrogen and water limitations on soil microbial activity and function in northern Arizona ponderosa pine forests.,Ecological Society of America Annual Meeting Abstracts,87,,323,,2002,,0,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
1956,"Bremer, DJ; Ham, JM",Measurement and modeling of soil CO2 flux in a temperate grassland under mowed and burned regimes,ECOLOGICAL APPLICATIONS,12,5,1318,1328,2002,,10,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
1957,"Brown, Kim J.; Schuster, William; Tissue, David; Turnbull, Matthew; Whitehead, David; Griffin, Kevin","Spatial and temporal variability of soil CO2efflux from xeric and mesic sites within Black Rock Forest, New York",Ecological Society of America Annual Meeting Abstracts,87,,87,,2002,,0,,,,N,4,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
1958,"Brye, KR; Gower, ST; Norman, JM; Bundy, LG",Carbon budgets for a prairie and agroecosystems: Effects of land use and interannual variability,ECOLOGICAL APPLICATIONS,12,4,962,979,2002,,24,Y,Y,,N,2,9/26/2008,"Topic=((""soil surface co2 efflux"" or ""soil surface co2 flux"" or ""soil surface carbon flux"" or ""soil surface carbon efflux"") not ""soil respiration"")"
1959,"Brye, KR; Norman, JM; Gower, ST",Assessing the progress of a tallgrass prairie restoration in Southern Wisconsin,AMERICAN MIDLAND NATURALIST,148,2,218,235,2002,,6,,,,N,3,9/26/2008,"Topic=((""soil surface co2 efflux"" or ""soil surface co2 flux"" or ""soil surface carbon flux"" or ""soil surface carbon efflux"") not ""soil respiration"")"
1960,"Buchmann, N",Plant ecophysiology and forest response to global change,TREE PHYSIOLOGY,22,15-16,1177,1184,2002,,8,,,,N,3,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
1961,"Bundy, JG; Paton, GI; Campbell, CD",Microbial communities in different soil types do not converge after diesel contamination,JOURNAL OF APPLIED MICROBIOLOGY,92,2,276,288,2002,,31,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
1962,"Burton, AJ; Pregitzer, KS; Ruess, RW; Hendrik, RL; Allen, MF",Root respiration in North American forests: effects of nitrogen concentration and temperature across biomes,OECOLOGIA,131,4,559,568,2002,,47,,,10.1007/s00442-002-0931-7,N,3,9/26/2008,"Topic=(""soil respiration"")"
1963,"Calderon, FJ; Jackson, LE","Rototillage, disking, and subsequent irrigation: Effects on soil nitrogen dynamics, microbial biomass, and carbon dioxide efflux",JOURNAL OF ENVIRONMENTAL QUALITY,31,3,752,758,2002,,16,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
1964,"Callaham, MA; Stewart, AJ; Alarcon, C; McMillen, SJ",Effects of earthworm (Eisenia fetida) and wheat (Triticum aestivum) straw additions on selected properties of petroleum-contaminated soils,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,21,8,1658,1663,2002,,4,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
1965,"Cao, MK; Prince, SD; Shugart, HH",Increasing terrestrial carbon uptake from the 1980s to the 1990s with changes in climate and atmospheric CO2,GLOBAL BIOGEOCHEMICAL CYCLES,16,4,,,2002,,12,,,10.1029/2001GB001553,N,4,9/26/2008,"Topic=(""soil respiration"")"
1966,"Cardon, ZG; Czaja, AD; Funk, JL; Vitt, PL",Periodic carbon flushing to roots of Quercus rubra saplings affects soil respiration and rhizosphere microbial biomass,OECOLOGIA,133,2,215,223,2002,,14,,,10.1007/s00442-002-1045-y,N,3,9/26/2008,"Topic=(""soil respiration"")"
1967,"Cardon, ZG; Czaja, AD; Funk, JL; Vitt, PL","Periodic carbon flushing to roots of Quercus rubra saplings affects soil respiration and rhizosphere microbial biomass (vol 133, pg 215, 2002)",OECOLOGIA,133,4,626,626,2002,,0,,,10.1007/s00442-002-1083-5,N,3,9/26/2008,"Topic=(""soil respiration"")"
1968,"Carswell, FE; Costa, AL; Palheta, M; Malhi, Y; Meir, P; Costa, JDR; Ruivo, MD; Leal, LDM; Costa, JMN; Clement, RJ; Grace, J",Seasonality in CO2 and H2O flux at an eastern Amazonian rain forest,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,107,D20,,,2002,,30,N,Y,10.1029/2000JD00284,N,2,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
1969,"Carter, MC; Dean, TJ; Zhou, MY; Messina, MG; Wang, ZY","Short-term changes in soil C, N, and biota following harvesting and regeneration of loblolly pine (Pinus taeda L.)",FOREST ECOLOGY AND MANAGEMENT,164,03-Jan,67,88,2002,,16,Y,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
1970,"Chen, XY; Eamus, D; Hutley, LB",Seasonal patterns of soil carbon dioxide efflux from a wet-dry tropical savanna of northern Australia,AUSTRALIAN JOURNAL OF BOTANY,50,1,43,51,2002,,19,N,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
1971,"Chen, XY; Eamus, D; Hutley, LB","Seasonal patterns of soil carbon dioxide efflux from a wet-dry tropical savanna of northern Australia (vol 50, pg 43, 2002)",AUSTRALIAN JOURNAL OF BOTANY,50,3,373,U20,2002,,0,Y,Y,,N,1,9/26/2008,"Topic=((""soil co2 efflux"" or ""soil co2 flux"" or ""soil carbon flux"" or ""soil carbon efflux"") not ""soil respiration"")"
1972,"Cheng, L.; Leavitt, S. W.; Brooks, T.; Matthias, A. D.; Williams, D. G.; Thompson, T.; Kimball, B. A.; Pinter, P. J.",Seasonal soil respiration and soil CO2 under elevated CO2 in the sorghum agroecosystem.,Ecological Society of America Annual Meeting Abstracts,87,,332,,2002,,0,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
1973,"Chevillard, A; Karstens, U; Ciais, P; Lafont, S; Heimann, M",Simulation of atmospheric CO2 over Europe and western Siberia using the regional scale model REMO,TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY,54,5,872,894,2002,,17,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
1974,"Clein, JS; McGuire, AD; Zhang, X; Kicklighter, DW; Melillo, JM; Wofsy, SC; Jarvis, PG; Massheder, JM",Historical and projected carbon balance of mature black spruce ecosystems across North America: the role of carbon-nitrogen interactions,PLANT AND SOIL,242,1,15,32,2002,,10,,,,N,4,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
1975,"Coble, D; Marshall, J",Aspect differences in above- and belowground carbon allocation: a Montana case-study,ENVIRONMENTAL POLLUTION,116,,S149,S155,2002,,0,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
1976,"Coleman, DC; Hunter, MD; Hutton, J; Pomeroy, S; Swift, L",Soil respiration from four aggrading forested watersheds measured over a quarter century,FOREST ECOLOGY AND MANAGEMENT,157,03-Jan,247,253,2002,,4,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
1977,"Craine, JM; Wedin, DA",Determinants of growing season soil CO2 flux in a Minnesota grassland,BIOGEOCHEMISTRY,59,3,303,313,2002,,12,Y,Y,,N,1,9/26/2008,"Topic=(q10 and soil and co2 not ""soil respiration"")"
1978,"Crawford, Jeffrey N.; Pregitzer, Kurt S.; Burton, Andrew J.; Zak, Donald R.",Effect of experimental N-additions on soil and root respiration in northern hardwood stands,Ecological Society of America Annual Meeting Abstracts,87,,105,,2002,,0,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
1979,"Cuntz, M; Ciais, P; Hoffmann, G",Modelling the continental effect of oxygen isotopes over Eurasia,TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY,54,5,895,909,2002,,4,,,,N,4,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
1980,"Curtis, PS; Hanson, PJ; Bolstad, P; Barford, C; Randolph, JC; Schmid, HP; Wilson, KB",Biometric and eddy-covariance based estimates of annual carbon storage in five eastern North American deciduous forests,AGRICULTURAL AND FOREST METEOROLOGY,113,04-Jan,3,19,2002,,78,Y,Y,,N,2,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
1981,"Davidson, EA; Savage, K; Bolstad, P; Clark, DA; Curtis, PS; Ellsworth, DS; Hanson, PJ; Law, BE; Luo, Y; Pregitzer, KS; Randolph, JC; Zak, D",Belowground carbon allocation in forests estimated from litterfall and IRGA-based soil respiration measurements,AGRICULTURAL AND FOREST METEOROLOGY,113,04-Jan,39,51,2002,,64,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
1982,"Davidson, EA; Savage, K; Verchot, LV; Navarro, R",Minimizing artifacts and biases in chamber-based measurements of soil respiration,AGRICULTURAL AND FOREST METEOROLOGY,113,04-Jan,21,37,2002,,88,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
1983,"de Neergaard, A; Porter, JR; Gorissen, A",Distribution of assimilated carbon in plants and rhizosphere soil of basket willow (Salix viminalis L.),PLANT AND SOIL,245,2,307,314,2002,,4,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
1984,"Desrochers, A; Landhausser, SM; Lieffers, VJ",Coarse and fine root respiration in aspen (Populus tremuloides),TREE PHYSIOLOGY,22,10,725,732,2002,,11,,,,N,3,9/26/2008,"Topic=(q10 and soil and co2 not ""soil respiration"")"
1985,"Dioumaeva, I; Trumbore, S; Schuur, EAG; Goulden, ML; Litvak, M; Hirsch, AI",Decomposition of peat from upland boreal forest: Temperature dependence and sources of respired carbon,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,108,D3,,,2002,,6,N,Y,10.1029/2001JD000848,N,1,9/26/2008,"Topic=(""soil respiration""); B-L2004"
1986,"Dolman, AJ; Moors, EJ; Elbers, JA",The carbon uptake of a mid latitude pine forest growing on sandy soil,AGRICULTURAL AND FOREST METEOROLOGY,111,3,157,170,2002,,28,N,Y,,N,2,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
1987,"Drewitt, GB; Black, TA; Nesic, Z; Humphreys, ER; Jork, EM; Swanson, R; Ethier, GJ; Griffis, T; Morgenstern, K",Measuring forest floor CO2 fluxes in a Douglas-fir forest,AGRICULTURAL AND FOREST METEOROLOGY,110,4,299,317,2002,,66,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
1988,"Ehleringer, JR; Bowling, DR; Flanagan, LB; Fessenden, J; Helliker, B; Martinelli, LA; Ometto, JP",Stable isotopes and carbon cycle processes in forests and grasslands,PLANT BIOLOGY,4,2,181,189,2002,,21,,,,N,3,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
1989,"Ehman, JL; Schmid, HP; Grimmond, CSB; Randolph, JC; Hanson, PJ; Wayson, CA; Cropley, FD",An initial intercomparison of micrometeorological and ecological inventory estimates of carbon exchange in a mid-latitude deciduous forest,GLOBAL CHANGE BIOLOGY,8,6,575,589,2002,,42,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
1990,"Eikenberry, Jennifer R.; Pregitzer, Kurt S.; Burton, Andrew J.; Zak, Donald R.",Chronic N effects on root and leaf litter chemistry on northern hardwood forests,Ecological Society of America Annual Meeting Abstracts,87,,121,,2002,,0,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
1991,"Ekblad, A; Nordgren, A",Is growth of soil microorganisms in boreal forests limited by carbon or nitrogen availability?,PLANT AND SOIL,242,1,115,122,2002,,20,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
1992,"Ekblad, A; Nyberg, G; Hogberg, P","C-13-discrimination during microbial respiration of added C-3-, C-4- and C-13-labelled sugars to a C-3-forest soil",OECOLOGIA,131,2,245,249,2002,,22,,,10.1007/s00442-002-0869-9,N,4,9/26/2008,"Topic=(""soil respiration"")"
1993,"El Maayar, M; Price, DT; Black, TA; Humphreys, ER; Jork, EM",Sensitivity tests of the integrated biosphere simulator to soil and vegetation characteristics in a Pacific coastal coniferous forest,ATMOSPHERE-OCEAN,40,3,313,332,2002,,5,,,,N,4,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
1994,"Epstein, HE; Burke, IC; Lauenroth, WK",Regional patterns of decomposition and primary production rates in the US Great Plains,ECOLOGY,83,2,320,327,2002,,29,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
1995,"Falge, E; Baldocchi, D; Tenhunen, J; Aubinet, M; Bakwin, P; Berbigier, P; Bernhofer, C; Burba, G; Clement, R; Davis, KJ; Elbers, JA; Goldstein, AH; Grelle, A; Granier, A; Guomundsson, J; Hollinger, D; Kowalski, AS; Katul, G; Law, BE; Malhi, Y; Meyers, T; Monson, RK; Munger, JW; Oechel, W; Paw, KT; Pilegaard, K; Rannik, U; Rebmann, C; Suyker, A; Valentini, R; Wilson, K; Wofsy, S",Seasonality of ecosystem respiration and gross primary production as derived from FLUXNET measurements,AGRICULTURAL AND FOREST METEOROLOGY,113,04-Jan,53,74,2002,,151,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
1996,"Fernandes, SAP; Bernoux, M; Cerri, CC; Feigl, BJ; Piccolo, MC",Seasonal variation of soil chemical properties and CO2 and CH4 fluxes in unfertilized and P-fertilized pastures in an Ultisol of the Brazilian Amazon,GEODERMA,107,04-Mar,227,241,2002,,20,Y,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
1997,"Fessenden, JE; Ehleringer, JR",Age-related variations in delta C-13 of ecosystem respiration across a coniferous forest chronosequence in the Pacific Northwest,TREE PHYSIOLOGY,22,03-Feb,159,167,2002,,35,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
1998,"Filip, Z",International approach to assessing soil quality by ecologically-related biological parameters,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,88,2,169,174,2002,,27,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
1999,"Filser, J",The role of Collembola in carbon and nitrogen cycling in soil,PEDOBIOLOGIA,46,04-Mar,234,245,2002,,26,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
2000,"Flanagan, LB; Wever, LA; Carlson, PJ",Seasonal and interannual variation in carbon dioxide exchange and carbon balance in a northern temperate grassland,GLOBAL CHANGE BIOLOGY,8,7,599,615,2002,,111,N,Y,,N,1,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
2001,"Frank, AB; Liebig, MA; Hanson, JD",Soil carbon dioxide fluxes in northern semiarid grasslands,SOIL BIOLOGY & BIOCHEMISTRY,34,9,1235,1241,2002,,43,Y,Y,,N,1,9/26/2008,"Topic=(""soil respiration"")"
2002,"Franzluebbers, K; Franzluebbers, AJ; Jawson, MD",Environmental controls on soil and whole-ecosystem respiration from a tallgrass prairie,SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,66,1,254,262,2002,,31,Y,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
2003,"Frolking, S; Roulet, NT; Moore, TR; Lafleur, PM; Bubier, JL; Crill, PM","Modeling seasonal to annual carbon balance of Mer Bleue Bog, Ontario, Canada",GLOBAL BIOGEOCHEMICAL CYCLES,16,3,,,2002,,10,,,10.1029/2001GB001457,N,3,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
2004,"Fu, SL; Cheng, WX",Rhizosphere priming effects on the decomposition of soil organic matter in C-4 and C-3 grassland soils,PLANT AND SOIL,238,2,289,294,2002,,33,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
2005,"Fu, SL; Cheng, WX; Susfalk, R",Rhizosphere respiration varies with plant species and phenology: A greenhouse pot experiment,PLANT AND SOIL,239,1,133,140,2002,,13,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
2006,"Gaertig, T; Schack-Kirchner, H; Hildebrand, EE; von Wilpert, K",The impact of soil aeration on oak decline in southwestern Germany,FOREST ECOLOGY AND MANAGEMENT,159,02-Jan,15,25,2002,,8,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
2007,"Garcia, C; Hernandez, T; Roldan, A; Martin, A",Effect of plant cover decline on chemical and microbiological parameters under Mediterranean climate,SOIL BIOLOGY & BIOCHEMISTRY,34,5,635,642,2002,,22,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
2008,"Ge, Y; Murray, P; Sauve, S; Hendershot, W",Low metal bioavailability in a contaminated urban site,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,21,5,954,961,2002,,8,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
2009,"Genxu, Wang; Ju, Qian; Guodong, Cheng; Yuanmin, Lai",Soil organic carbon pool of grassland soils on the Qinghai-Tibetan Plateau and its global implication,Science of the Total Environment,291,03-Jan,207,217,2002,,0,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
2010,"Giardina, Christian P.; Binkley, Dan E.",Sources of soil surface CO2 efflux in a tropical plantation forest,Ecological Society of America Annual Meeting Abstracts,87,,139,,2002,,0,,,,N,4,9/26/2008,"Topic=((""soil surface co2 efflux"" or ""soil surface co2 flux"" or ""soil surface carbon flux"" or ""soil surface carbon efflux"") not ""soil respiration"")"
2011,"Giardina, CP; Ryan, MG",Total belowground carbon allocation in a fast-growing Eucalyptus plantation estimated using a carbon balance approach,ECOSYSTEMS,5,5,487,499,2002,,67,Y,Y,10.1007/s10021-002-0130-8,N,1,9/26/2008,"Topic=(""soil respiration"")"
2012,"Granier, A; Pilegaard, K; Jensen, NO",Similar net ecosystem exchange of beech stands located in France and Denmark,AGRICULTURAL AND FOREST METEOROLOGY,114,02-Jan,75,82,2002,,25,N,Y,,N,2,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
2013,"Granier, Andre; Berbigier, Paul; Loustau, Denis; Kowalski, Andrew; Rambal, Serge",The net balance of carbon of forests: The approach based on the measure of CO2 flux.,Comptes Rendus de l'Academie d'Agriculture de France,88,5,19,27,2002,,0,N,Y,,Y,2,9/26/2008,"Topic=(""soil respiration"")"
2014,"Greer, DH; Wunsche, JN; Halligan, EA","Influence of postharvest temperatures on leaf gas exchange, carbohydrate reserves and allocations, subsequent budbreak, and fruit yield of 'Braeburn' apple (Malus domestica) trees",NEW ZEALAND JOURNAL OF CROP AND HORTICULTURAL SCIENCE,30,3,175,185,2002,,3,,,,N,3,9/26/2008,"Topic=(""soil respiration"")"
2015,"Gregg, Jillian W.; Rygiewicz, Paul T.; Andersen, Christian P.; Phillips, Donald L.; Johnson, Mark G.","Deconvolution of soil CO2 efflux from root, litter, and soil organic matter.",Ecological Society of America Annual Meeting Abstracts,87,,358,,2002,,0,,,,N,4,9/26/2008,"Topic=((""soil co2 efflux"" or ""soil co2 flux"" or ""soil carbon flux"" or ""soil carbon efflux"") not ""soil respiration"")"
2016,"Guettes, R; Dott, W; Eisentraeger, A",Determination of urease activity in soils by carbon dioxide release for ecotoxicological evaluation of contaminated soils,ECOTOXICOLOGY,11,5,357,364,2002,,1,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
2017,"Haertel, Elisabeth; Zechmeister-Boltenstern, Sophie; Gerzabek, Martin",Gaseous nitrogen losses from a forest site in the North Tyrolean Limestone Alps,Environmental Science and Pollution Research International,,Sp. Iss. 2,23,30,2002,,0,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
2018,"Hamilton, JG; DeLucia, EH; George, K; Naidu, SL; Finzi, AC; Schlesinger, WH",Forest carbon balance under elevated CO2,OECOLOGIA,131,2,250,260,2002,,92,Y,Y,10.1007/s00442-002-0884-x,N,2,9/26/2008,"Topic=(""net ecosystem exchange"" or ""net ecosystem production"" not ""soil respiration"")"
2019,"Haraguchi, A; Kojima, H; Hasegawa, C; Takahashi, Y; Iyobe, T",Decomposition of organic matter in peat soil in a minerotrophic mire,EUROPEAN JOURNAL OF SOIL BIOLOGY,38,1,89,95,2002,,3,N,Y,,N,2,9/26/2008,"Topic=(""soil respiration"")"
2020,"Harper, Christopher W.; Blair, John M.; Fay, Philip A.; Knapp, Alan K.; Carlisle, Jonathan D.","Altered rainfall patterns affect soil respiration, nitrogen availability, and decomposition in a tallgrass prairie ecosystem.",Ecological Society of America Annual Meeting Abstracts,87,,361,,2002,,0,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
2021,"Harris, Wylie N.; Boutton, Thomas W.; Ansley, R. James",Soil respiration and microbial biomass in subhumid temperate grassland: Role of fire and simulated grazing.,Ecological Society of America Annual Meeting Abstracts,87,,361,,2002,,0,,,,N,4,9/26/2008,"Topic=(""soil respiration"")"
